CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-075211		CB DW 522922	Tactical Air-to-Surface Conventional Weapons Program. Quarterly Progress Report, 1 January-31		TPR-320 NOTS-TP-3259 DPG-63-1096	1963-05-01	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to DoD agencies only.	C
CB-075215		CB DW 522924	Tactical Air-to-Surface Conventional Weapons Program. Current Summary Report.		NAVWEPS-8425 NOTS-TP-3372 DPG-63-2249	1963-09-01	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to DoD agencies only.	C
CB-075217		CB DW 522925	Tactical Air-to-Surface Conventional Weapons Program. Quarterly Progress Report, 1 July-30		NOTS-TP-3417 TPR-347	1963-10-01	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to DoD agencies only.	C
CB-075226		CB DW 535540 EDG E497916	Digest of Scientific Reports No. 14, 20 April 1963.	Vogt, Tyree C.	DOSR-14 AC-63-S-40 DPG-63-0836 CRDL-TL-63-S-381 H0381630117	1963-04-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-075227		CB DW 535541 EDG E497917	Digest of Scientific Reports No. 15, 20 May 1963.	Vogt, Tyree C.	AC-63-S-45 DPG-63-1067 CRDL-TL-63-S-422 H0422630047 DOSR-15	1963-05-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-075228		CB DW 535542 EDG E497918	Digest of Scientific Reports No. 16, 20 June 1963.	Vogt, Tyree C.	AC-63-S-56 DPG-63-1306 CRDL-TL-63-S-603 H0603630047 DOSR-16	1963-06-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-075283		CB DW 535571 EDG E497870	Meeting of the Medical Committee, Chemical Corps Advisory Council, 24-25 May 1962 at Army	Lewis, Patricia J.	AC-63-S-9 DPG-63-0242 CRDL-TL-63-S-84 H0084630064	1963-01-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-075284		CB DW 535572 EDG E497873	Meeting of the Medical Committee, CBR Agency Advisory Council, 18-19 February 1963 at	Lewis, Patricia J.	AC-63-S-70 CRDL-TL-63-S-775	1963-08-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUSAU
CB-075496		CB DW 535585	Meeting of the Engineering and Production Committee of the CBR Agency Advisory Council, 25-26	Vogt, Tyree C.		1963-08-01	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Distribution limited to DoD agencies only.	S
CB-075510		CB DW 535620	Quarterly Review and Analysis Summary. Quarterly Report No. 4, Fiscal Year 1963.		DPG-63-1790 QR-4	1963-07-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1988.	C
CB-075570		CB DW 535622	Quarterly Review and Analysis Summary. Quarterly Report No. 3, Fiscal Year 1963.		QR-3 DPG-63-0897	1963-04-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1988.	C
CB-075571		CB DW 535623	Quarterly Review and Analysis Summary. Quarterly Report No. 2, Fiscal Year 1963.		QR-2 DPG-63-0217	1963-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1988.	C
CB-075572		CB DW 535624	Quarterly Review and Analysis Summary. Quarterly Report No. 1, Fiscal Year 1963.		QR-1 DPG-63-0084	1963-10-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1988.	C
CB-076011		CB DW 522761	Installation Characteristics of the Aero 18A ALSD.		EC-6253-C	1963-11-12	EDO CORP COLLEGE POINT NY	Distribution limited to DoD agencies only.	C
CB-076030		CB DW 522486 DW 536861	CW Irritant Gas Dispersers. Trial Report, 23 June-8 July 1963.		HQS-8387-1-DEP-3 MUTR-19-63	1963-07-23	CANADIAN ARMY OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	C/RD
CB-076710		CB DW 522195 EDG E499464	Project CHORD. Informal Monthly Progress Report No. 24, 1 June-30 June 1963.		CRDL-63-S-730 IMPR-24 GM-1592-G-470-141	1963-06-30	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-076711		CB DW 522197 EDG E499465	Project CHORD. Informal Monthly Progress Report No. 25, 1-31 July 1963.		IMPR-25 DTC-63-545 GM-1592-G CRDL-63-S-853 CRDL-TL-63-S-848	1963-07-31	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-077602		CB DW 522416 EDG E495006	Incidence of Leakage in Canadian No. 2 MK 2 and No. 2 MK 2/1 Protective Masks After Training	McDermot, H. L. Cameron, B. G. Norman, J. J.	DRCL-TN-63-9	1963-03-01	DEFENCE RESEARCH BOARD OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-078131		CB DW 524788 EDG E499469	Project CHORD. Informal Monthly Progress Report No. 29, 1-30 November 1963.		IMPR-29 DTC-64-33 CRDL-64-S-10 CRDL-TL-64-S-431	1963-11-30	CORNELL AERONAUTICAL LAB INC BUFFALO NY	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078207		CB EDG E499713	Dugway Proving Ground Test Plan DPGTP 619, Phase C, 20 September 1963.		DPGTP-619 DPG-63-1873 CRDL-63-S1017 CRDL-TL-62-S-815	1963-09-20	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078212		CB EDG E499714	Dugway Proving Ground Draft Test Plan DPGTP 619, Phase C, 12 July 1963.		DPGTP-619 DPG-63-1327 CRDL-63-S-792 CRDL-TL-63-S-894	1963-07-12	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078213		CB EDG E499715	Outdoor Dissemination Aspects of the Development, Engineering, and Service Testing of the		DPGTP-620 DPG-63-0757 CRDL-63-S-430 CRDL-TL-63-S-420	1963-04-05	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078214		CB EDG E499716	Dugway Proving Ground Test Plan (DPGTP) 620, Phase C, 20 September 1963.		DPGTP-620-C DPG-63-1886 CRDL-63-S-961 CRDL-TL-63-S-814	1963-09-20	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078216		CB EDG E499717	Dugway Proving Ground Draft Test Plan (DPGTP) 620, Phase C, 12 July 1963.		DPGTP-620-C DPG-63-1337 CRDL-63-S-789 CRDL-TL-63-S-881 CRDL-TL-64-S-103	1963-07-12	ARMY DUGWAY PROVING GROUND UT	Distribution authorized to DoD agencies only. NOFORN. This document	C/NOFORN
CB-078219		CB EDG E499718	Dugway Proving Ground Draft Test Plan DPGTP 625, Phase B, 10 July 1963.		DPGTP-625-B DPG-63-1338 CRDL-63-S-790 CRDL-TL-63-S-893	1963-07-10	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078223		CB EDG E499719	Dugway Proving Ground Test Plan (DPGTP) 625, Phase B, 20 September 1963.		DPGTP-625-B DPG-63-1887 CRDL-63-S-1016 CRDL-TL-63-S-813	1963-09-20	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-078231		CB EDG E499723	Engineering Dissemination Trials of the Cluster, Bomb, Incapacitating, BZ, 750lb, M43. Amendment		DPGTP-631 DPG-63-0410	1963-02-14	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-078236		CB DW 536927 EDG E499728	Engineering Test for High Performance Military Aircraft Disseminating V-Agent.		DPG-TP-655C DPG-63-1212	1963-06-03	ARMY TEST AND EVALUATION COMMAND DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1988.	C
CB-078303		CB DW 536440	Engineer-service Test of the Lance Missile System.		DPG-64-0180	1963-11-18	ARMY ARTILLERY BOARD FORT SILL OK	Distribution limited to DoD agencies only.	S
CB-078353		CB DW 536735	Report No. 248, 12 February 1963.	Munro, Stuart	R-248	1963-02-12	DEPARTMENT OF NATIONAL DEFENCE OTTAWA (ONTARIO)	Distribution authorized to DoD agencies only; Foreign Government Information.	C
CB-078433		CB DW 536011	Semiannual Progress Report No. 147, 1 April-30 September 1963.		CAORE-SPR-147	1963-10-01	CANADIAN ARMY OPERATIONAL RESEARCH ESTABLISHMENT OTTAWA	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-078481		CB DW 537016 EDG E495021	Thirteenth Joint Conference on the Field Test Programme, 14-16 August 1963.			1963-08-14	DEFENCE RESEARCH BOARD EXPERIMENTAL STATION RALSTON	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-078490		CB DW 537075	The Army Force Development Plan 1964-1983. Volume 1 of 2.	Lambert, J. C.	DPG-63-1050	1963-04-01	ASSISTANT CHIEF OF STAFF FOR FORCE DEVELOPMENT (ARMY)	Distribution limited to DoD agencies only.	C
CB-078606		CB DW 535555 DW 535557 EDG E497874	Meeting of the Dissemination and Field Testing Committee of the CBR Agency Advisory Council,	Vogt, Tyree C.	AC-63-S-79 DPG-63-2011 CRDL-TL-63-S-789 H0789630025	1963-09-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-078826		CB DW TE1262 EDG E495474	Estimation of the Biological Decay Rate of Aerosols of UL under Conditions Simulating Field Trials.	Jemski, Joseph V.	DPG-TP-471 59-TE-1262 DPG-64-0225	1963-11-25	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Apr 1989.	C
CB-080072		CB EDG E495260	Trial Record No. 333, June 1963, Test Design and Analysis Division.		DPG-63-1097 DPG-TR-333	1963-06-01	ARMY TEST AND EVALUATION COMMAND DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-082882		CB DW 536443 EDG E490043	Dissemination System Chemical Agents Lethal and Incapacitating. Bimonthly Progress Report No.	Strickland, R. G. Beers, R. Young, R. B.	ER-2921-B CRDL-63-S-44 CRDL-TL-63-S-403 BMPR-3	1963-04-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution authorized to DoD agencies only. NOFORN. This document	C/NOFORN
CB-082885		CB DW 536444 EDG E490044	Dissemination System Chemical Agents Lethal and Incapacitating. Bimonthly Progress Report No.	Strickland, R. G. Beers, R. L.	ER-2921-C CRDL-63-S-711 CRDL-TL-64-S-301 BMPR-4	1963-06-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-082889		CB DW 536445 EDG E490045	Dissemination System Chemical Agents Lethal and Incapacitating. Bimonthly Progress Report No.	Strickland, R. G. Beers, R. L.	ER-2921-D CRDL-63-S-914 CRDL-TL-64-S-333 BMPR-5	1963-08-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-082890		CB DW 536446 EDG E490045	Dissemination System Chemical Agents Lethal and Incapacitating. Bimonthly Progress Report No.	Strickland, R. G. Beers, R. L.	ER-2921-E CRDL-63-S-1100 CRDL-TL-63-S-1034 BMPR-6	1963-10-01	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution authorized to DoD agencies only. NOFORN. This document	C/NOFORN
CB-083414		CB DW 537498 EDG E482762	Progress in the Chemical Investigation Connected with Therapy. Item 7 -- 43rd Chemistry	Marsh, D. J.	PTN-TA-1730-5281-62 H0186630001	1963-07-23	CHEMICAL DEFENCE ESTABLISHMENT PORTON DOWN (UNITED KINGDOM)	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-083834		CB DW 537541 EDG E484576	Porton Field Trial Report No. 607, 27-29 May 1963.	Hogg, M. A. P.	PFTR-607	1963-05-29	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-084232		CB DW 536347	XM50 VX Warhead System. Phase 3, Test, Evaluation, and Documentation. Bimonthly Progress	Lineweaver, W. L. Zelina, R. S.	ER-2834-III BMPR-11	1963-01-02	AIRCRAFT ARMAMENTS INC COCKEYSVILLE MD	Distribution limited to DoD agencies only.	C
CB-084239		CB DW 536375	Report of USATECOM Test Project No. 5-3-3040-03, 30 July 1963.	Brownfield, A. R.	DPG-63-1526	1963-07-30	ARMY AIRBORNE ELECTRONICS AND SPECIAL WARFARE BOARD FORT	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-084240		CB DW 536378	Report of USATECOM Project No. 5-3-3020-02 (CE 1963) Service Test (Troop Evaluation) of	Brownfield, A. R.	DPG-63-1499	1963-07-29	ARMY AIRBORNE ELECTRONICS AND SPECIAL WARFARE BOARD FORT	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-084403		CB DW 536772	Scientific Intelligence Study. Denmark, 1963 through 1968.		SIC-S-13-63 DPG-64-0397	1963-12-20	JOINT ATOMIC ENERGY INTELLIGENCE COMMITTEE VIENNA VA	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-084404		CB DW 536775	Scientific Intelligence Study. The Netherlands, Through 1968.		SIC-S-4-63 DPG-63-0991	1963-04-09	JOINT ATOMIC ENERGY INTELLIGENCE COMMITTEE VIENNA VA	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
CB-084479		CB DW 524766	Project Management Master Plan, 1 January 1963.		CBR-S-15-63 DTC-63-121	1963-01-01	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Distribution limited to DoD agencies only.	C
CB-084503		CB DW 535880	Title Classified.		IR-1521034263	1963-01-02	DEPARTMENT OF THE AIR FORCE WASHINGTON DC	Distribution limited to DoD agencies only. NOFORN. This document contains	C/REL TO CANUKUS
CB-084541		CB DW 537753	BW/CW Ship Defense.		DPG-64-1029 NRL-6140-155 NRL-PROB-C08-22 BP-SF011-08-01-3332	1963-09-06	NAVAL RESEARCH LAB WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-084556		CB DW 537769	Index of Mutual Weapons Development Program Agreements.		DPG-63-1060 PR-1406970	1963-04-15	ARMY MATERIEL COMMAND WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-084558		CB DW 537770	Change to Index of Mutual Weapons Development Program Agreements.		DPG-63-2366	1963-09-05	ARMY MATERIEL COMMAND WASHINGTON DC	Distribution limited to DoD agencies only. NOFORN. This document contains	C/NOFORN
CB-084559		CB DW 537771	Preliminary Test Plan.		DPG-63-1415	1963-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-084715		CB DW 538375	Record of Test MD-1972, 27 September-4 October 1963.		MD-1972 DPG-64-0370	1963-12-01	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989.	C
CB-085102		CB DW 537358	Special Report on Tularemia in Western Utah.		EES-93 DPG-64-0681	1963-09-15	UTAH UNIV SALT LAKE CITY ECOLOGY AND EPIZOOLOGY RESEARCH	Distribution limited to DoD agencies only.	C
CB-085236		CB DW 538425	Dugway Proving Ground Operating Program, 1963-1967. Target Year FY 1963. Appendix I to		DPG-63-0220 DTC-63-166	1963-01-01	ARMY TEST AND EVALUATION COMMAND DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1989.	C/NOFORN
CB-085244		CB DW 524798	WHISTLE DOWN. Project Report, 14 June 1963.		SU-63SR34 DTC-63-367	1963-06-14	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989.	C/NOFORN
CB-085247		CB DW 538543	Ballistic Studies of Plastic-to-metal Two-piece Configurations for Use in the 105 mm Sting Ray	McHugh, R. F., Jr. Rogers, E. B. Ingram, R. R., Jr. Lewis, J. H. Wasel, W. D. Kohler, M. R.	CRDL-TM-21-8 CRDL-63-S-345 DPG-63-1358	1963-04-08	CHEMICAL RESEARCH AND DEVELOPMENT CENTER ABERDEEN PROVING	Distribution limited to DoD agencies only.	C
CB-085250		CB DW 537621	Mutual Weapons Development Program. Report of Visit, September 1963.		DPG-64-0095	1963-09-01	ARMY MATERIEL COMMAND WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-085253		CB DW 537622	Mutual Weapons Development Project. Report of Visit, 23-24 September 1963.		DPG-64-0605	1963-09-23	ARMY MATERIEL COMMAND WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-085264		CB DW 525753	Identification of Aerosols. Department of Defense Intelligence Information Report No. 53000-63.	Kingston, J. R.	DTC-63-157 IIR-53000-63	1963-03-04	DEPARTMENT OF DEFENSE WASHINGTON DC	Distribution limited to DoD agencies only.	S
CB-085285		CB DW 540743	Health Safety Guides for Handling and Use of Devices Containing PR-155 (Project TIARA).		DPG-66-2502	1963-10-24	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to DoD agencies only.	C
CB-085546		CB DW 522019	Project Requirement, 23 October 1963.		1056-C-65	1963-10-23	ARMY CHEMICAL-BIOLOGICAL-RADIOLOGICAL ENGINEERING GROUP ARMY	Distribution limited to DoD agencies only.	C
CB-085568		CB DW 522124	Quarterly Information Letter, 1 October-31 December 1963.	Hard, W. H.		1963-12-31	UNITED STATES ARMY STANDARDIZATION GROUP OTTAWA (CANADA)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-085662		CB DW 537490 EDG E484759	The Distribution of Clothing over the Combat Soldier. Porton Note No. 254, 25 February 1963.	Stacey, E. J. Hopkins, P. H. P.	PN-254 DPG-62-3243	1963-02-25	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-085667		CB DW 537488 EDG E484764	Porton Note No. 263, 27 May 1963.	Stubbs, R. B. E.	PN-263	1963-05-27	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-085668		CB DW 537487 EDG E484765	Porton Note No. 269, 20 August 1963.	Banfield, J. N.	PN-269	1963-08-20	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-085669		CB DW 537485 EDG E484766	Porton Note No. 278, 27 August 1963.	Parsons, C. W.	PN-278	1963-08-27	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-085687		CB DW 536374	Report of USATECOM Test Project No. 5-3-3030-02, 17-27 June 1963.	Brownfield, A. R.	AESW-BD-S-447-63 DPG-63-1525	1963-07-29	ARMY AIRBORNE ELECTRONICS AND SPECIAL WARFARE BOARD FORT	Distribution limited to DoD agencies only.	S
CB-085688		CB DW 536377	Report of USATECOM Test Project No. 5-5-3050-02, 17-27 June 1963.	Brownfield, A. R.	DPG-63-1531 AESW-BD-S-448-63	1963-07-29	ARMY AIRBORNE ELECTRONICS AND SPECIAL WARFARE BOARD FORT	Distribution limited to DoD agencies only.	S
CB-085758		CB DW 537586	Fourteenth Tripartite Technical Intelligence Continuity Conference, 21 October-24 October 1963.		DPG-65-0351	1963-10-21	TRIPARTITE WORKING GROUP	Distribution limited to DoD agencies only. NOFORN. This document contains	S/REL TO CANUKUS
CB-085899		CB DW 538012	Clearance of Technical Material. 3rd Indorsement.			1963-10-07	ARMY TEST AND EVALUATION COMMAND ABERDEEN PROVING GROUND	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989.	C
CB-086906		CB DW 536373	Report of USATECOM Test Project No. 5-3-3060-03, 30 July 1963.		DPG-63-1527 AESW-BD-S-450-63	1963-07-30	ARMY AIRBORNE ELECTRONICS AND SPECIAL WARFARE BOARD FORT	Distribution limited to DoD agencies only. NOFORN. This document contains	S/NOFORN
